Заголовок,Цена,Сколько осталось,Количество страниц,Год,Издательство
КнигаНаВсеВремена-м Лондон Д. Странник по,158,Мало,c.448,2024,АСТ
13 карт. Фанфики. Подданные Земли Королей (сборник) (куратор проекта Нечитайло,1 249,Мало,c.264,2023,"Эксмо,Комильфо"
"FantasyWorld Широков А.В.,Шапочкин А.И. Варлок. Второй курс,",487,Мало,c.384,2021,енинград
"FantasyWorld Широков А.В.,Шапочкин А.И. Варлок. Эскалация,",537,Мало,c.352,2022,енинград
"FantasyWorldЛучшаяСовременнаяФэнтези Вулф Дж. Меч и Цитадель (цикл ""Книга Нового",1 244,Мало,c.704,2022,Эксмо
"FantasyWorldЛучшаяСовременнаяФэнтези Вулф Дж. Тень и Коготь (цикл ""Книга Нового",1 081,Мало,c.704,2022,Эксмо
FantasyWorldЛучшаяСовременнаяФэнтези Джемисин Н.К. Расколотая земля Кн.3 Каменные,890,Мало,c.416,2021,Эксмо
FantasyWorldЛучшаяСовременнаяФэнтези Уикс Б. Светоносец Кн.1 Черная,1 031,Мало,c.640,2022,Эксмо
"FantasyWorldЛучшаяСовременнаяФэнтези Уильямс Т. Память, Скорбь и Шип Кн.2 Скала Прощания",960,Мало,c.512,2022,Эксмо
"FantasyWorldЛучшаяСовременнаяФэнтези Уильямс Т. Память, Скорбь и Шип Кн.2 Скала Прощания",960,Мало,c.576,2022,Эксмо
FantasyWorldЛучшаяСовременнаяФэнтези Уильямс Т. Светлый Ард. Братья,960,Мало,c.384,2022,Эксмо
Fanzon Баркер Р.Дж. Дитя приливов Кн.2 Зов костяных,761,Мало,c.576,2022,Эксмо
"Fanzon Кюнскен Д. Квантовый сад (Цикл ""Квантовая",633,Достаточно,c.384,2022,Эксмо
Fanzon Лавгроув Дж. Firefly. Признаки,661,Мало,c.384,2022,Эксмо
"Fanzon Паркер-Чан Ш. Та, что стала",811,Мало,c.480,2022,Эксмо
"Fanzon Пекара Я. Я, инквизитор Кн.3 Меч",687,Мало,c.480,2021,Эксмо
"Fanzon Пекара Я. Я, инквизитор Кн.4 Ловцы",711,Мало,c.448,2022,Эксмо
"Fanzon Райаниеми Х. Квантовый вор (премии ""Блуждающая звезда"", ""Галактика"") (Трилогия ""Квантового",860,Мало,c.368,2022,Эксмо
"Fanzon Райаниеми Х. Фрактальный принц (Трилогия ""Квантового",860,Мало,c.352,2022,Эксмо
Fanzon Расселл М.Д. Кн.1 Птица,714,Достаточно,c.576,2023,Эксмо
"Fanzon Роанхорс Р. Черное Солнце (цикл ""Между землей и",988,Мало,c.544,2022,Эксмо
Fanzon Стивенсон Н. Синдром,1 135,Мало,c.768,2023,Эксмо
"Fanzon Суон Р. Кн.1 Правосудие королей (цикл ""Империя",735,Достаточно,c.512,2023,Эксмо
"Fanzon Тейлор Д. Потому что нас много (цикл ""Вселенная",661,Достаточно,c.384,2022,Эксмо
"Fanzon Уэллс М. Облачные дороги (цикл ""Книги",661,Мало,c.480,2022,Эксмо
Fanzon Ханрахан Г. Наследие Черного Железа Кн.2 Святой из,687,Достаточно,c.576,2021,Эксмо
Fanzon Ханрахан Г. Наследие Черного Железа Кн.3 Сломленный,832,Мало,c.576,2022,Эксмо
Fanzon Хэдфилд К. Орбита,785,Мало,c.608,2023,Эксмо
Fanzon Чакраборти Ш. Серебряная река (трилогия,764,Мало,c.352,2023,Эксмо
FanzonSci-FiUniverse Коваль М.Р. Леди-астронавт Кн.1 Вычисляя,885,Достаточно,c.496,2023,Эксмо
FanzonБольшаяФантастика Пауэрс Т. Последние дни,687,Мало,c.448,2020,Эксмо
FanzonЗвёздныеВойны Айрлэнд Д. Расцвет Республики. Из,661,Мало,c.384,2022,Эксмо
FanzonФэнтези Аберкромби Дж. Море Осколков Кн.2,910,Мало,c.480,2022,Эксмо
FanzonФэнтези Аберкромби Дж. Море Осколков Кн.3,960,Мало,c.448,2022,Эксмо
FanzonФэнтези Кей Г.Г. Все моря,964,Мало,c.560,2024,Эксмо
FanzonФэнтези Кей Г.Г. Львы,1 081,Мало,c.624,2022,Эксмо
FiveNightsAtFreddys Коутон С. Ужасы Фазбера. В,614,Мало,c.288,2023,Эксмо
"FiveNightsAtFreddys Коутон С.,Брид-Райсли К. Пять ночей у Фредди.",614,Мало,c.416,2023,Эксмо
"FiveNightsAtFreddys Коутон С.,Брид-Райсли К. Пять ночей у Фредди. Серебряные",614,Мало,c.448,2023,Эксмо
"FiveNightsAtFreddys Коутон С.,Брид-Райсли К. Файлы Фредди. Официальный путеводитель по лучшей",686,Мало,c.224,2023,Эксмо
"FiveNightsAtFreddys Коутон С.,Ваггенер А.,Уэст К.Э. Ужасы Фазбера.",614,Мало,c.352,2023,Эксмо
FreedomАнгелыЭлизиума Вильденштейн О. Кн.1,785,Мало,c.576,2023,Эксмо
FreedomАнгелыЭлизиума Вильденштейн О. Кн.2,785,Мало,c.608,2023,Эксмо
FreedomАнгелыЭлизиума Вильденштейн О. Кн.3 Звездный,785,Мало,c.640,2023,Эксмо
FreedomДелаАмуров Кеннеди Р. Кн.1 Знак,764,Мало,c.448,2023,Эксмо
FreedomДелаАмуров Кеннеди Р. Кн.2 Узы,764,Достаточно,c.512,2023,Эксмо
FreedomЗолотаяПленница Кеннеди Р. Кн.1,761,Мало,c.416,2022,Эксмо
FreedomЗолотаяПленница Кеннеди Р. Кн.2,761,Мало,c.448,2022,Эксмо
FreedomЗолотаяПленница Кеннеди Р. Кн.3,785,Мало,c.640,2022,Эксмо
FreedomЗолотаяПленница Кеннеди Р. Кн.4,785,Мало,c.704,2023,Эксмо
FreedomИспытанияКоролевыДемонов Кроуфорд К.Н. Город,761,Мало,c.320,2022,Эксмо
FreedomЛедИНектар Кроуфорд К.Н. Кн.1,764,Мало,c.416,2024,Эксмо
FreedomЛедИНектар Кроуфорд К.Н. Кн.2,764,Мало,c.416,2024,Эксмо
FreedomПерерождениеГрознойИмператрицы Чакэ Ц. Кн.1 Ярость Шэнь,992,Достаточно,c.704,2024,Эксмо
FreedomПерерождениеЮнойГоспожи Син С. Кн.2 Ловушка госпожи,992,Достаточно,c.512,2024,Эксмо
FreedomПесньОНебесах Гуйюань Т. Кн.1 Восхождение,992,Мало,c.704,2023,Эксмо
FreedomПесньОНебесах Гуйюань Т. Кн.2 Восстание клана,992,Мало,c.704,2023,Эксмо
FreedomПесньОНебесах Гуйюань Т. Кн.3 Владычица,992,Мало,c.736,2024,Эксмо
FreedomПокровителиНебес Хольмберг Ч. Кн.1 Избранница,714,Достаточно,c.416,2023,Эксмо
GrandFantasy Келлерман Б,1 140,Мало,c.392,2023,РиполКлассик
GrandFantasy Моррис К. Незрячие драконы,1 020,Мало,c.352,2023,РиполКлассик
HorrorStory Арсдейл П. Ван Пожиратели,1 020,Мало,c.336,2021,РиполКлассик
HorrorStory Готхельф И. Пляска смерти,760,Мало,c.256,2024,РиполКлассик
HorrorStory Корелли М. Скорбь,1 020,Мало,c.544,2022,РиполКлассик
HorrorStory Лавкрафт Г.Ф. Крысы в стенах,1 068,Мало,c.416,2023,РиполКлассик
HorrorStory Ле Фаню Дж.Ш. Недобрый,828,Мало,c.272,2023,РиполКлассик
HorrorStory Херли Э.М. День,926,Мало,c.352,2022,РиполКлассик
HorrorStory Чамберс Р. Король в Желтом (библиотека,804,Мало,c.320,2022,РиполКлассик
HorrorStory Эверс Х.Х. Гротески,1 320,Мало,c.460,2023,РиполКлассик
HorrorStory Эверс Х.Х. Кошмары,1 188,Мало,c.448,2022,РиполКлассик
LadyFantasy-м Касс К.,237,Мало,c.320,2021,"Азбука,АзбукаАттикус"
"LadyFantasy-м Маас С.Дж. Корона полуночи Кн.2 (цикл ""О Селене",260,Мало,c.448,2021,"Азбука,АзбукаАттикус"
MainstreamФантастика Смит Н.С. Сыновья,888,Мало,c.480,2022,АСТ
MainstreamФэнтези Арментроут Дж. Корона из золотых,995,Мало,c.768,2022,АСТ
MainstreamФэнтези Арментроут Дж. Шторм и,888,Мало,c.544,2023,АСТ
MainstreamФэнтези Бракен А.,816,Мало,c.608,2022,АСТ
MainstreamФэнтези Мартинес М. Судьба. Мрачные,888,Мало,c.576,2023,АСТ
"Martinas E.V. Место, которого дважды не было Ч.2. Война",811,Достаточно,c.400,2022,Эксмо
"NewAdultМагическиеМиры Далин М. Корона, Огонь и Медные Крылья (Цикл ""Мир",764,Мало,c.640,2023,Эксмо
NewAdultМагическиеМиры Райд А. Волчица и,735,Достаточно,c.512,2023,Эксмо
NewHorror Томас С. Килл,826,Мало,c.592,2023,РиполКлассик
Nocturna Мотейн М. Кн.1 Магия,650,Достаточно,c.448,2020,Росмэн/Росмэн-Пресс
NoSugarКлаустрофобия Бодлер А. Кн.1,687,Достаточно,c.736,2023,АСТ
NoSugarСлавяне Рой О.,766,Мало,c.672,2024,АСТ
PocketBook Антарова К.Е. Две жизни Ч.1 Мистический,317,Достаточно,c.700,2023,Эксмо
PocketBook Антарова К.Е. Две жизни Ч.2 Мистический,317,Достаточно,c.672,2023,Эксмо
PocketBook Антарова К.Е. Две жизни Ч.3 Мистический,306,Мало,c.592,2023,Эксмо
PocketBook Антарова К.Е. Две жизни Ч.4 Мистический,306,Мало,c.672,2023,Эксмо
PocketBook Киз Д. Цветы для,317,Мало,c.352,2024,Эксмо
"REBEL Сильвера А. Сын вечности, (Popcorn",496,Достаточно,c.320,2022,rint
RedVioletКорейскийМолодежныйРоман Сорим С. Книжная лавка,736,Мало,c.288,2024,"Эксмо,МаннИвановИФербер"
RedVioletМагияАзии Сиран Джей Чжао Железная,898,Мало,c.448,2022,"Эксмо,МаннИвановИФербер"
STALKER Иванов-Ковалев Д. На,666,Достаточно,c.288,2024,АСТ
"STALKER Моргунов Д.Г.,Волков Т. Сага о Торе. Черный",637,Достаточно,c.288,2023,АСТ
STALKER Нуждин А. Зона Питер. Сбой,637,Мало,c.320,2023,АСТ
STALKER Пономарев А. Хранители. План,666,Достаточно,c.352,2024,АСТ
TheBigBook Кунц Д. Холодный,909,Мало,c.512,2022,"Азбука,АзбукаАттикус"
TheBigBook-м Тёртон С. Дьявол и темная,301,Мало,c.544,2022,"Азбука,АзбукаАттикус"
"TokФэнтезиТриллерОПрофайлереФБР Омер М., Кроуфорд К. Фейри-профайлер (+QR-код для",686,Достаточно,c.320,2024,"Эксмо,INSPIRIA"
TOПAmazonМолодежныйФэнтезиБестселлер Игера Д. Последняя,686,Мало,c.384,2023,Эксмо
Young AdultКаллаПрайсМореБезумия Коул К.,534,Мало,c.416,2019,Эксмо
Young AdultКоролевствоЗапрещеннойМагии Родес М. Кн.1 Эхо и,761,Мало,c.448,2022,Эксмо
Young AdultМагияКрови Вэнь Чжао А. Кн.1 Кровавая,738,Достаточно,c.512,2021,Эксмо
Young AdultНемецкиеФэнтезиБестселлеры Вульф М. Египетские хроники Кн.1 Скипетр,832,Мало,c.608,2022,Эксмо
Young AdultНемецкиеФэнтезиБестселлеры Вульф М. Египетские хроники Кн.2 Кольцо,832,Достаточно,c.608,2022,Эксмо
Young AdultНемецкиеФэнтезиБестселлеры Вульф М. Египетские хроники Кн.3 Корона,835,Достаточно,c.640,2023,Эксмо
"Young AdultНемецкиеФэнтезиБестселлеры Вульф М. Как песня тишины (Цикл ""Легкое",758,Мало,c.448,2022,Эксмо
"Young AdultНемецкиеФэнтезиБестселлеры Вульф М. Как свет во тьме (Цикл ""Легкое",761,Достаточно,c.384,2022,Эксмо
"Young AdultНемецкиеФэнтезиБестселлеры Вульф М. Магия лунного света (цикл ""Сага серебряного",758,Мало,c.320,2021,Эксмо
"Young AdultНемецкиеФэнтезиБестселлеры Вульф М. Не потеряй меня (Цикл ""Искра",714,Мало,c.512,2023,Эксмо
"Young AdultНемецкиеФэнтезиБестселлеры Вульф М. Призраки лунного света (цикл ""Сага серебряного",758,Мало,c.352,2021,Эксмо
Young AdultНемецкиеФэнтезиБестселлеры Вульф М. Сестра луны (цикл,785,Мало,c.512,2023,Эксмо
Young AdultПробуждениеМагииТемноеФэнтези Гулд К. Прах и,711,Мало,c.416,2022,Эксмо
Young AdultПробуждениеМагииТемноеФэнтези Кристо А. Принцесса,764,Достаточно,c.512,2023,Эксмо
Young AdultПробуждениеМагииТемноеФэнтези Мерфи Э.Б. Нити,782,Мало,c.480,2022,Эксмо
Young AdultПробуждениеМагииТемноеФэнтези Росс Р. Сестры меча и,761,Мало,c.480,2022,Эксмо
Young AdultПробуждениеМагииТемноеФэнтези Солсбери М. Ее темные,686,Мало,c.384,2023,Эксмо
Young AdultСердцеВремени Пиц М. Кн.2 Ночь лазурных,498,Мало,c.384,2020,Эксмо
Young AdultСердцеВремени Пиц М. Кн.3 Забытые,498,Мало,c.384,2020,Эксмо
"Young AdultСестрыСалема Каст Ф.К., Каст К. Кн.1 Магия",761,Мало,c.448,2022,Эксмо
Young AdultФейблИсторияНаследницыМоря Янг Э. Кн.2,711,Достаточно,c.448,2022,Эксмо
YoungAdult JJJ Некромант-одиночка Т.1,1 035,Достаточно,c.337,2024,Эксмо
YoungAdult JJJ Некромант-одиночка. Новелла.,714,Достаточно,c.288,2024,Эксмо
"YoungAdult Авеярд В. Кн.2 Стеклянный меч (Цикл ""Алые и Серебряные"") (мировой",809,Мало,c.576,2022,Эксмо
